images,institutionCode,sex,preparations,eventDate,year,month,day,country,stateProvince,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificName,infraspecificEpithet
,NMV,Male,Skin | Dry,23/01/1918,1918,1,23,Australia,New South Wales,-32.05,149.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,16/01/1966,1966,1,16,Papua New Guinea,,-7.8875,145.3851,EPSG:4326,Accipiter poliocephalus,Accipiter,
,QM,Male,Spirit,16/01/1977,1977,1,16,Australia,Queensland,-28.666667,144.383333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skeleton,26/01/1982,1982,1,26,Australia,South Australia,-34.6333,135.8667,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,1/01/2002,2002,1,1,Australia,Queensland,-24.866667,152.35,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,"NSW Dept of Planning, Industry and Environment",,,25/01/1973,1973,1,25,Australia,New South Wales,-30.28150083,152.7182636,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,QM,Female,Skin,1/01/1987,1987,1,1,Papua New Guinea,,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Skeleton,20/01/1982,1982,1,20,Australia,South Australia,-34.7333,135.8667,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,22/01/1966,1966,1,22,Australia,Tasmania,-41.41666,146.60554,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,4/01/2004,2004,1,4,Australia,Queensland,-16.5839,145.3408,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Skin,2/01/1951,1951,1,2,Australia,South Australia,-35.05,138.7333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,MAGNT,,skin,26/01/1969,1969,1,26,Australia,Northern Territory,-25.117,129.033,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,26/01/1911,1911,1,26,Australia,Queensland,,,,Accipiter fasciatus didimus,Accipiter (Leucospiza) fasciatus didimus,didimus
,MAGNT,,skin,28/01/1978,1978,1,28,Australia,Australian Capital Territory,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,2/01/1972,1972,1,2,Australia,New South Wales,-35.7,149.8667,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,18/01/1991,1991,1,18,Australia,Queensland,-24.116667,143.183333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Male,Skin,25/01/1905,1905,1,25,Australia,Tasmania,-42.2667,148.0167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,29/01/1984,1984,1,29,Christmas Island,,-10.4167,105.675,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,28/01/1962,1962,1,28,Australia,Tasmania,-40.98333,145.71665,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Male,Skin | Dry,17/01/1923,1923,1,17,Australia,New South Wales,-32.07,149.23,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,1/01/1980,1980,1,,Australia,Victoria,-34.2333,142.0167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,4/01/1982,1982,1,4,Australia,Australian Capital Territory,-35.2833,149.2167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,1/01/1913,1913,1,,Australia,South Australia,-34.91833333,138.5022222,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,5/01/1971,1971,1,5,Australia,New South Wales,-33.4333,151.3333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skeleton complete,17/01/1983,1983,1,17,Australia,Australian Capital Territory,-35.2222,149.1264,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,,1993,1,,Australia,Tasmania,-41.46665,147.11666,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,fasciatus
,NMV,Male,Skin | Dry,4/01/1920,1920,1,4,Australia,New South Wales,-31.98,151.12,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,male,skin,12/01/2005,2005,1,12,Australia,New South Wales,-34.8019,150.6011,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,,Skin,7/01/1920,1920,1,7,Australia,New South Wales,-31.97,141.45,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,14/01/1926,1926,1,14,Australia,Queensland,-27.516667,152.966667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,31/01/1933,1933,1,31,Australia,Queensland,-13.7,141.75,EPSG:4326,Accipiter fasciatus didimus,Accipiter (Leucospiza) fasciatus didimus,didimus
,QM,,Spirit,16/01/1977,1977,1,16,Australia,Queensland,-28.666667,144.383333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Unknown,Skeleton | Dry,2/01/1985,1985,1,2,Australia,Victoria,-37.88,148,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skin | Dry,,1899,1,,Australia,South Australia,-34.92,138.5,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,Male,Skin,9/01/1987,1987,1,9,Australia,Queensland,-27.466667,153.016667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,13/01/1911,1911,1,13,Australia,South Australia,-34.9333,138.5333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,17/01/1916,1916,1,17,Australia,South Australia,-34.9183,138.5022,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,16/01/2000,2000,1,16,Australia,New South Wales,-35,150.7333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,28/01/1924,1924,1,28,Australia,New South Wales,-32.07,149.23,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skin | Dry,17/01/1963,1963,1,17,Australia,Victoria,-34.3,142.22,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skeleton,16/01/1989,1989,1,16,Australia,South Australia,-35.1333,139.1333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skeleton,11/01/1995,1995,1,11,Australia,South Australia,-36.0122,139.8692,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,Skin,15/01/1939,1939,1,15,Australia,South Australia,-34.7833,138.7833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,MAGNT,,skin,,1990,1,,Australia,Northern Territory,-12.433,130.917,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,15/01/1932,1932,1,15,Australia,South Australia,-34.9833,138.7167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,probably male,skin,12/01/1966,1966,1,12,Papua New Guinea,,-7.8959,145.3946,EPSG:4326,Accipiter poliocephalus,Accipiter,
,NMV,Female,Skin | Dry,7/01/1974,1974,1,7,Australia,Victoria,-38.28,143.23,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,not recorded,skin,28/01/1977,1977,1,28,Australia,Australian Capital Territory,-35.2167,149.1417,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,31/01/1933,1933,1,31,Australia,Queensland,-13.7,141.75,EPSG:4326,Accipiter fasciatus didimus,Accipiter (Leucospiza) fasciatus didimus,didimus
,QM,Male,Skin,16/01/1967,1967,1,16,Australia,Queensland,-27.35,147.466667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,Male,Skin,1888-01-01,1888,1,1,Papua New Guinea,,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,21/01/1973,1973,1,21,Australia,Northern Territory,-13.5,132.4833,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,Male,,21/01/1949,1949,1,21,Australia,New South Wales,-32.166,151.5,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,SAMA,Unknown,Skeleton,23/01/2007,2007,1,23,Australia,South Australia,-37.8333,140.7833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,31/01/1966,1966,1,31,Papua New Guinea,,-7.6667,145.9833,EPSG:4326,Accipiter poliocephalus,Accipiter,
,"NSW Dept of Planning, Industry and Environment",,,30/01/1994,1994,1,30,Australia,New South Wales,-36.62593163,149.9628526,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,15/01/2018,2018,1,15,Australia,Australian Capital Territory,-35.2015,149.0821,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skull,,1983,1,,Australia,Tasmania,-42.21665,145.91666,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,1/01/2010,2010,1,,Australia,South Australia,-34.7667,137.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,female,skeleton complete,31/01/1983,1983,1,31,Australia,New South Wales,-35.1667,149.25,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
"[""4d29f508-6dc5-4731-97d4-6ca32fff3f5f""]",NMV,,Egg | Dry,1898-01-16,1898,1,16,Australia,Queensland,-17.75,139.55,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,NMV,Female,Skin | Dry,23/01/2016,2016,1,23,Australia,New South Wales,-36.914,149.9,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,QM,Male,Skin,1884-01-25,1884,1,25,Australia,Queensland,-27.466667,153.016667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,16/01/2003,2003,1,16,Australia,New South Wales,-35.7417,149.425,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
"[""1f6522e4-b972-4b23-879d-15c76be9cf50""]",AM,,,1/01/2006,2006,1,,New Caledonia,,,,,"Accipiter haplochrous Sclater, 1817",Accipiter,
,SAMA,Male,Skin,31/01/1963,1963,1,31,Australia,South Australia,-35.0167,138.6167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,1/01/1932,1932,1,1,Australia,Queensland,-28.23,152.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Unknown,Skin | Dry,14/01/1953,1953,1,14,Australia,Victoria,-34.25,142.2,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QVMAG,,skin,5/01/1968,1968,1,5,Australia,Tasmania,-41.25,145.78333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,13/01/1966,1966,1,13,Papua New Guinea,,-7.8959,145.3946,EPSG:4326,Accipiter hiogaster leucosomus,Accipiter (Leucospiza) hiogaster,leucosomus
,QVMAG,,skeleton,23/01/1992,1992,1,23,Australia,Tasmania,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,SAMA,Female,Skin,1/01/1980,1980,1,,Australia,Victoria,-34.2333,142.0167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,WAM,Female,Skin,19/05/2005,2005,5,19,Australia,Western Australia,-14.866667,124.716667,EPSG:4326,,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,15/05/1985,1985,5,15,Australia,Australian Capital Territory,-35.2222,149.1264,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,29/05/1976,1976,5,29,Australia,Victoria,-37.83,145.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,,Whole | frozen,30/05/2018,2018,5,30,Australia,Victoria,-37.67,145.145,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,12/05/1952,1952,5,12,Australia,Queensland,-27.4,153.066667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,,Skin,14/05/2001,2001,5,14,Australia,Queensland,-27.3,151.85,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,1888-05-21,1888,5,21,Papua New Guinea,,,,,Accipiter novaehollandiae leucosomus,Accipiter (Leucospiza) novaehollandiae,leucosomus
,SAMA,Female,Skeleton,11/05/1937,1937,5,11,Australia,South Australia,-34.9667,138.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,3/05/1965,1965,5,3,Australia,Tasmania,-42.61666,147.71665,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Female,"Skull
Wing(s)",10/05/2001,2001,5,10,Australia,Queensland,-27.45,152,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,29/05/1973,1973,5,29,Australia,Northern Territory,-12.4833,133.3333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Female,Skin | Dry,20/05/1910,1910,5,20,Australia,Western Australia,-14.28,126.63,EPSG:4326,Accipiter fasciatus didimus,Accipiter (Leucospiza) fasciatus didimus,didimus
,ANWC,male,skin,16/05/1980,1980,5,16,Australia,Australian Capital Territory,-35.3333,149.1667,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,28/05/2015,2015,5,28,Australia,Queensland,-19.39075,146.99714,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skeleton,1/05/1982,1982,5,1,Australia,Tasmania,-41.45,147.16666,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,1/05/2007,2007,5,,Australia,New South Wales,-34.5,150.7833,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,MAGNT,,skeleton,8/05/1998,1998,5,8,Australia,Northern Territory,-12.45,130.833,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,25/05/1978,1978,5,25,Australia,South Australia,-37.1167,140.7,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,,Egg | Dry,18/05/1902,1902,5,18,Australia,Northern Territory,-13.3,130.25,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,female,skin,14/05/1972,1972,5,14,Australia,Northern Territory,-12.8667,132.8333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skeleton,1/05/1991,1991,5,,Australia,South Australia,-36.3667,140.7,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,28/05/1973,1973,5,28,Australia,Northern Territory,-12.4833,133.3333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Mounted skin,1/05/1951,1951,5,,Australia,South Australia,-34.85,138.65,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,21/05/1973,1973,5,21,Australia,Northern Territory,-13.75,132.2,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,17/05/1905,1905,5,17,Australia,New South Wales,-36.05,146.9,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,1/05/1962,1962,5,1,Australia,Northern Territory,-22.3667,133.4833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,,15/05/1962,1962,5,15,Australia,Northern Territory,-13.2,131.18,EPSG:4326,Erythrotriorchis radiatus,Erythrotriorchis radiatus,
,QM,Female,Skin,28/05/1957,1957,5,28,Australia,Queensland,-24.366667,139.466667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skin | Dry,16/05/1958,1958,5,16,Australia,Victoria,-38.35,143.58,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,WAM,Female,Skin,10/05/1976,1976,5,10,Australia,Queensland,-18.199722,142.4175,EPSG:4326,,Erythrotriorchis radiatus,
,NMV,Female,Skin | Dry,15/05/2003,2003,5,15,Australia,Victoria,-37.82,145.15,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,14/05/1974,1974,5,14,East Timor,,-8.4667,127.0167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,30/05/1902,1902,5,30,Australia,Northern Territory,-12.45,130.833,EPSG:4326,"Erythrotriorchis radiatus (Latham, 1801)",Erythrotriorchis radiatus,
,AM,Male,,11/05/1966,1966,5,11,Australia,New South Wales,-29.683,152.933,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,SAMA,,Skin,1895-05-05,1895,5,5,Australia,South Australia,-34.9333,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,MAGNT,,skin,16/05/1985,1985,5,16,Australia,Northern Territory,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,16/05/2000,2000,5,16,Australia,New South Wales,-34.8167,150.6167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Wing | Dry,15/05/2003,2003,5,15,Australia,Victoria,-37.82,145.15,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,1/05/1970,1970,5,,Australia,Australian Capital Territory,-35.2222,149.1264,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,22/05/1970,1970,5,22,Australia,Western Australia,-31.9167,115.8,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Female,Skin,29/05/1965,1965,5,29,Australia,Queensland,-28.233333,152.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,15/05/1974,1974,5,15,East Timor,,-8.4,127.2833,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,MAGNT,,skin,3/05/1968,1968,5,3,Australia,Northern Territory,-23.517,133.567,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,26/05/1945,1945,5,26,Australia,South Australia,-35.0167,138.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,AM,Female,,19/05/1974,1974,5,19,Australia,New South Wales,-34.133,150.816,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,,,1895-05-19,1895,5,19,Australia,New South Wales,-33.416,149.583,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,QM,Female,Skin,12/05/1982,1982,5,12,Australia,Queensland,-26.733333,150.633333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,7/05/1992,1992,5,7,Australia,Tasmania,-41.2667,146.8167,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,3/05/1970,1970,5,3,Australia,Australian Capital Territory,-35.2303,149.1381,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,,2008,5,,Australia,Victoria,-38.38,142.48,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Male,,19/05/1964,1964,5,19,Australia,New South Wales,-35.183,150.3,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,female,skin,27/05/1979,1979,5,27,Australia,Queensland,-17.5667,145.95,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Skin,1/05/1952,1952,5,1,Australia,South Australia,-34.1667,139.2333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,1/05/1918,1918,5,1,Australia,New South Wales,-32.05,149.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
"[""efbbba6d-5083-4d95-846e-3a6589a6e235""]",NMV,,Egg | Dry,22/05/1902,1902,5,22,Australia,Northern Territory,-13.3,130.25,EPSG:4326,Erythrotriorchis radiatus,Erythrotriorchis radiatus,
,QVMAG,,skin,30/05/1971,1971,5,30,Australia,Tasmania,-41.6,147.13333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,24/05/1913,1913,5,24,Australia,Northern Territory,-16.07,136.3,EPSG:4326,Erythrotriorchis radiatus,Erythrotriorchis radiatus,
,ANWC,female,skeleton complete,1/05/1990,1990,5,1,Australia,New South Wales,-34.55,150.3833,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,,Skin,1895-05-05,1895,5,5,Australia,South Australia,-34.9333,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,17/05/1974,1974,5,17,East Timor,,-8.7333,126.3667,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Female,Skin,10/05/1960,1960,5,10,Australia,Queensland,-27.466667,152.583333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skin | Dry,,1959,5,,Australia,Victoria,-38.17,144.35,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,25/05/2015,2015,5,25,Australia,Victoria,-38.4511,145.242,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,MAGNT,,skin,15/05/1986,1986,5,15,Australia,Northern Territory,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,18/05/2012,2012,5,18,Australia,New South Wales,-28.86544,153.40834,EPSG:4326,"Accipiter novaehollandiae (Gmelin, 1788)",Accipiter (Leucospiza) novaehollandiae,
